match_conf,item_id_my,sku,my_title,my_price,item_id_rival,rival_title,rival_price,status,diff_abs,diff_pct,alert,match_quality
0.187,206112035342,_CUC_20250509e1184011582,PANERAI LUMINOR CHRONOGRAPH PAM00122 E SERIES AUTOMATIC TITANIUM 40MM MENS WATCH,11704.62,206141482284,SEIKO SBDA005 7S25-00D0 PROSPEX Titanium Orange 40ｍｍ,585.7,両方にある商品,,,,要確認(厳密条件外)
0.193,206109211031,_CUC_20250701s1166232280,SEIKO CREDOR SIGNO GBLH999 7R88-0AA0 K18WG 18KT HAND WIND WATCH SILVER DIAL,11220.64,147181836028,Christian Dior Mimiwi Bracelet  1 point diamond K18WG,854.84,両方にある商品,,,,要確認(厳密条件外)
0.381,206130211224,_NGH_202502081164790304,GRAND SEIKO SBGA403 SPORTS COLLECTION SPRING DRIVE 20TH ANNIVERSARY LIMITED USED,10515.47,306802388347,Nintendo Game Boy Micro Famicom Color 20th Anniversary Edition Console #26,338.67,両方にある商品,,,,要確認(厳密条件外)
0.257,206104911134,_CUC_20250920v1200428897,SEIKO GRAND SEIKO SBGW008 9S54-00A0 37MM SILVER DIAL K18YG MANUAL WINDING,11263.08,287183213593,Seiko Grand Seiko SBGX261 Quartz Mens Watch Black Dial 37mm Boxed,2380.0,両方にある商品,,,,要確認(厳密条件外)
0.305,206123737893,_SAT_20250313w1176726938,GRAND SEIKO SBGJ277 MECHANICAL HI-BEAT 36000 SPORTS COLLECTION GMT JAPAN MADE,7269.06,287182625683,Grand Seiko 4522-8000 45GS Hi Beat 36000 Manual Wind Date Watch 36mm Silver Dial,1351.23,両方にある商品,,,,要確認(厳密条件外)
0.298,206130137026,_NGH_202502101164917396,GRAND SEIKO MECHANICAL HI-BEAT 36000 SBGH315 400 PIECES WORLDWIDE DEEP BLUE MEN,7532.42,287185575066,Grand Seiko 45GS 4520-8000 Hi Beat 36000 Manual Wind Vintage 1968 Medallion,1673.1,両方にある商品,,,,要確認(厳密条件外)
0.286,206104878174,_LDK_20250822e1196430701,Grand Seiko STGK011 9S27-00D0 Auto Watch Silver Dial 30mm 2P Diamond /w Box,5739.84,236665976974,Seiko Chronograph 8T63-00D0 Quartz Men's Watch Working Analog Silver,253.24,両方にある商品,,,,要確認(厳密条件外)
0.333,206104911210,_CUC_20250920m1200404706,SEIKO GRAND SEIKO SBGA471 40MM BLUE DIAL SPRING DRIVE BOUTIQUE ONLINE EXCLUSIVE,5818.09,306782584472, [ Excellent ] Voigtlander Ultron 40mm f/2 SL Nikon F Mount w/Front & Rear Cap,432.23,両方にある商品,,,,要確認(厳密条件外)
0.225,206130206252,_FKD_20250209l1120147340,GRAND SEIKO SPORTS COLLECTION SBGE215/9R66 AUTOMATIC SPRING DRIVE GMT 44MM,5782.34,287150752323,CITIZEN Signature Collection Grand Touring NB0070-57E Automatic 44mm WR200,543.65,両方にある商品,,,,要確認(厳密条件外)
0.308,206139444534,_FKD_20250201r1143948979,GRAND SEIKO SPORTS COLLECTION GMT AUTOMATIC SPRING DRIVE SBGE248 K18YG BLUE DIAL,7778.8,147157599448,Cartier Love Ring K18YG US #4.5,2720.26,両方にある商品,,,,要確認(厳密条件外)
