match_conf,item_id_my,sku,my_title,my_price,item_id_rival,rival_title,rival_price,status,diff_abs,diff_pct,alert,match_quality
0.598,206105086500,_SAT_20251103m20963201023,GRAND SEIKO SBGF013 8J56 MEN'S WRISTWATCH ROUND FACE JAPAN MADE STAINLESS STEEL,1616.85,287183323913,Seiko Grand Seiko SBGF013 8J56-7000 Quartz Mens Watch Cream Dial Boxed,906.3,両方にある商品,710.55,78.4,高すぎ候補,超厳密一致
0.6,206104960514,_CUC_20260221m36148527256,TAG HEUER CARRERA CAR2A1Z.FT6044 CALIBRE HEUER 01 46MM AUTO CHRONO USED,2935.29,147157605119,TAG Heuer CAR2A1Z.FT6044 MSP30023 Carrera Chronograph Black/Red Automatic Men's,3608.82,両方にある商品,-673.53,-18.66,安すぎ候補,超厳密一致
0.525,206104943382,_CUC_20260224m91793879814,SONY TA-F333ESX INTEGRATED AMPLIFIER ES SERIES STEREO AMP GOOD CONDITION ,454.21,177873061000,Sony TA-F333ESX Integrated Amplifier 105W Vintage Hi-Fi Japan,724.96,両方にある商品,-270.75,-37.35,安すぎ候補,超厳密一致
0.967,206129581972,_SAT_20260311m47796162928,KING SEIKO × BEAMS 50TH ANNIVERSARY MODEL SDKA025 LIMITED TO 300 PIECES MINT,3668.72,188124221174,KING SEIKO × BEAMS 50th Anniversary Model SDKA025 Limited to 300 Pieces,3400.0,両方にある商品,268.72,7.9,OK,超厳密一致
0.519,206142582456,_SAT_20260315p1222463922,SONY TA-DA5800ES 9-CHANNEL MULTI-CHANNEL INTEGRATED AMPLIFIER USB-DAC FUNCTION,1629.48,389697183610,SONY TA-DA5800ES 9.1ch multi-channel integrated amplifier AC100V 50/60Hz Japan,1403.06,両方にある商品,226.42,16.14,高すぎ候補,超厳密一致
0.864,206154962995,_SAT_20260320m70997950101,SEIKO DEAD STOCK DPZ010 C153-5011 CALCULATOR DIGITAL  FOR PARTS OR NOT WORKING,481.74,389726261223,Seiko DPZ010 C153-5011 Retro Mechanical Silver Watch Dead Stock,700.0,両方にある商品,-218.26,-31.18,安すぎ候補,超厳密一致
0.923,206154694377,_SAT_20260318m20685941924,CASIO G-SHOCK MUDMASTER GWG-B1000EC-1AJF BLUETOOTH RADIO SOLAR WATCH 52.1MM,1178.42,188144081084,CASIO G-SHOCK MUDMASTER GWG-B1000EC-1AJF Bluetooth Radio Solar Watch 52.1mm NEW,995.0,両方にある商品,183.42,18.43,高すぎ候補,超厳密一致
0.911,206147451171,_SAT_20260317l1139619957,SEIKO 5 SPORTS SBSA077 STREET FIGHTER V CHUN LI LIMITED AUTOMATIC UNUSED WATCH,915.56,287180531215,Seiko 5 Sports SBSA077 Street Fighter V Chun Li Limited Automatic Unused Watch,752.92,両方にある商品,162.64,21.6,高すぎ候補,超厳密一致
0.598,206123946912,_LDK_20250306q1129092529,Casio G-SHOCK GMW-B5000GD Solar Bluetooth Radio Quartz Men's Watch Unused /w Box,570.74,306791274916,[ Exc ] Casio G-Shock GMW-B5000GD-9JF Full Metal Gold Digital Men Watch #50,410.38,両方にある商品,160.36,39.08,高すぎ候補,超厳密一致
0.896,206147402212,_CUC_20260317m41239598663,CITIZEN SERIES 8 NA1005-17L AUTOMATIC BLUE DIAL RUBBER STRAP MEN'S WATCH JAPAN ,529.33,287186375569,Citizen Series 8 NA1005-17L Automatic Watch Blue Dial Sapphire Steel Boxed,680.1,両方にある商品,-150.77,-22.17,安すぎ候補,超厳密一致
0.938,206119452710,_SAT_20260308m88585577437,SEIKO 5 SPORTS JOJO GOLDEN WIND GUIDO MISTA SBSS031 LIMITED 1000,1213.04,188091318245,Unused Seiko 5 Sports JoJo Golden Wind Guido Mista SBSS031 Limited 1000,1066.5,両方にある商品,146.54,13.74,OK,超厳密一致
0.507,206145220115,_CUC_2020317m78711625750,SEIKO BRIGHTZ SAGA205 FLIGHT EXPERT SOLAR RADIO CHRONOGRAPH BLACK MEN'S WATCH,481.6,287185632779,Seiko Brightz Flight Expert SAGA205 8B92-0AE0 Solar Chronograph Watch,343.05,両方にある商品,138.55,40.39,高すぎ候補,超厳密一致
0.52,206111489460,_SAT_20260304m89991576612,CITIZEN ACE PARAWATER A1307051 MANUAL WIND 21J VINTAGE MEN'S WATCH 34MM RARE,324.85,287167922305,CITIZEN Ace Para Water A1307051 Manual Wind 21 Jewels Vintage Watch,458.38,両方にある商品,-133.53,-29.13,安すぎ候補,超厳密一致
0.871,206104920491,_CUC_20260227m33275109353,SONY VAIO FIT 15 SVF15N18DJB CORE I7 8GB RAM 128GB SSD 15.5 FHD WINDOWS 11,436.49,206084868836,"SONY VAIO Fit 15 SVF15N18DJB i7 8GB 128GB SSD 15.5"" Touch Windows 8",303.99,両方にある商品,132.5,43.59,高すぎ候補,超厳密一致
0.893,206104942641,_SAT_20260224m69966336732,SEIKO SNE549 PADI SOLAR DIVER WATCH 200M PROSPEX WRIST 16CM NEAR MINT,416.49,206079129532,SEIKO SNE549 PADI Solar Diver Watch 200M Prospex Timepiece Authentic Wrist 16cm,538.93,両方にある商品,-122.44,-22.72,安すぎ候補,超厳密一致
0.616,206135896065,_CUC_20260313m49801713456,SONY VAIO VJP132 13.3 FHD LAPTOP i7-5500U 8GB RAM 128GB SSD WIN10 PRO READ,209.21,306794722769,SONY VAIO VAIO VJP132 Core i7-5500U 2.2GHz 8GB SSD 128GB 13.3in Used,329.0,両方にある商品,-119.79,-36.41,安すぎ候補,超厳密一致
0.961,206124269330,_CUC_20260309h1209118758,LOUIS VUITTON MONOGRAM VIVIENNE COUVERTURE CARNET PAUL NOTEBOOK COVER GI0541 ,890.36,206118864209,LOUIS VUITTON Notebook Cover Kwertur Carne Paul Monogram Vivienne GI0541,786.57,両方にある商品,103.79,13.2,OK,超厳密一致
0.793,206104921671,_CUC_20260227m26765832110,CITIZEN ATTESA ECO DRIVE GPS F900 CC9010-66A TITANIUM MENS WATCH BOX WARRANTY ,581.49,287156735890,Citizen Attesa CC9010-66A F900 Eco Drive GPS Satellite Wave 43mm Watch Boxed,678.1,両方にある商品,-96.61,-14.25,OK,超厳密一致
0.937,206133514512,_CUC_20260312m12783255745,SEIKO 5 SPORTS HUF LIMITED EDITION SBSA323 AUTOMATIC WATCH NEW  GOOD UNUSED ,624.15,188127801017,"Seiko 5 Sports x HUF Collaboration SBSA323 Limited Edition of 1,000 Units JPN",528.0,両方にある商品,96.15,18.21,高すぎ候補,超厳密一致
0.63,206104967946,_SAT_20260217m79228514729,"CASIO EXILIM EX-ZR1100 16.1MP YELLOW DIGITAL CAMERA W/BATTERY,CHARGER",252.8,317947819886,Casio Exilim EX-ZR1100 Black 16.1 MP Digital Camera English language Tested Used,342.8,両方にある商品,-90.0,-26.25,安すぎ候補,超厳密一致
0.97,206104937751,_SAT_20260224m19142758567,SEIKO SBPY162 POKEMON VAPOREON SOLAR CHRONOGRAPH WATCH 700 LIMITED W/BOX,1387.81,188118108154,Seiko Pokemon Special Model SBPY162 Blastoise Limited BLue Dial Watch w/Box,1299.0,両方にある商品,88.81,6.84,OK,超厳密一致
0.937,206154698243,_SAT_20260319k1209916822,HAMILTON KHAKI NAVY FROGMAN H777160 AUTOMATIC CHRONOGRAPH MOONPHASE TITANIUM,783.29,287194438699,Hamilton Khaki Navy Frogman H777160 Automatic Chronograph Moonphase Titanium,695.64,両方にある商品,87.65,12.6,OK,超厳密一致
0.963,206129586213,_SAT_20260311m32027941586,LOUIS VUITTON X YAYOI KUSAMA M82109 PUMPKIN COIN PURSE UNUSED W/ BOX,1007.09,188122029377,LOUIS VUITTON X YAYOI KUSAMA PUMPKIN COIN PURSE M82109 Pink Rare,920.0,両方にある商品,87.09,9.47,OK,超厳密一致
0.89,206129641741,_SAT_20260311m21975755007,LOUIS VUITTON MONOGRAM POCHETTE CLES COIN PURSE M60633,210.72,206111964539,Louis Vuitton M60633 Monogram Empreinte Pochette Cles KEY POUCH,297.6,両方にある商品,-86.88,-29.19,安すぎ候補,超厳密一致
0.919,206142432397,_SAT_20260315m73529028090,LOUIS VUITTON BRAZZA AEROGRAM WALLET ORANGE TAURILLON LEATHER M81153,369.6,188123653724,Louis Vuitton Brazza Aerogram Wallet Orange Taurillon Leather M81153,449.5,両方にある商品,-79.9,-17.78,安すぎ候補,超厳密一致
0.945,206154694563,_SAT_20260318m1221881859,LOUIS VUITTON M01812 NAUTICAL SILK BLUE GOLD HARDWARE BAG CHARM ACCESSORY,798.6,206127139786,Louis Vuitton M01812 Nautical Silk Blue Gold Hardware Bag Charm Accessory ,875.4,両方にある商品,-76.8,-8.77,OK,超厳密一致
0.786,206113864351,_CUC_20260305m92941794685,SEIKO KINETIC CHRONO MX7000 9T82 LIMITED EDITION 500 TITANIUM MEN WATCH SATX001,1710.21,287165784318,SEIKO Kinetic Chronograph MX7000 SATX001 21 Century Limited Edition Boxed,1637.09,両方にある商品,73.12,4.47,OK,超厳密一致
0.967,206127123694,_SAT_20260311m52521541933,SEIKO 5 SPORTS YUTO HORIGOME SBSC015 LIMITED EDITION W/BOX EXCELLENT+++++,765.72,188126253632,SEIKO 5 Sports Yuto Horigome SBSC015 Limited Edition w/Box warranty Tested,699.0,両方にある商品,66.72,9.55,OK,超厳密一致
0.456,206104963077,_SAT_20260218n1202091224,SEIKO PROSPEX DIVER SCUBA SBPK001 5K65-0AA0 SOLAR QUARTZ MEN'S WATCH MINT,642.85,206076981757,SEIKO SBPK001 Prospex GMT Diver Scuba 44ｍｍ Wrist 21cm,577.0,両方にある商品,65.85,11.41,OK,超厳密一致
0.683,206113858606,_CUC_20260305c1205321370,LOUIS VUITTON ELANGA EN POCHE TAIGA LEATHER GARMENT BAG EPISEA M30104 GOOD USED ,809.61,306792519189,Louis Vuitton M30104 Elanga en Posh Garment Bag Used VI0984,743.85,両方にある商品,65.76,8.84,OK,超厳密一致
0.933,206154861946,_SAT_20260319o1220386798,LOUIS VUITTON M01557 KEYCHAIN SEE YOUR LOVE MONOGRAM VERNIS ROSE KEY RING USED,450.78,206129114828,LOUIS VUITTON M01557 Keychain See Your Love Monogram Vernis Rose key ring Used,514.69,両方にある商品,-63.91,-12.42,OK,超厳密一致
0.708,206104995149,_SAT_20260211r1194627035,SONY TC-RX2000T STEREO CASSETTE DECK VARIABLE PITCH CONTROL AC100V 50/60HZ 16W,397.06,206079999391,SONY TC-RX79 STEREO CASSETTE DECK DOLBY B-C NR HX PRO AC100V 50/60Hz 16W,337.24,両方にある商品,59.82,17.74,高すぎ候補,超厳密一致
0.932,206142431853,_SAT_20260315m72260857745,LOUIS VUITTON ZIPPY ORGANIZER M30517 TAIGA LEATHER GREY ORGANIZER WALLET,369.6,188123685508,Louis Vuitton Taiga Brazza Wallet M30517 Glacier Gray Leather,428.47,両方にある商品,-58.87,-13.74,OK,超厳密一致
0.948,206108852321,_CUC_20260303m46819864436,SEIKO METRONOME WATCH SMW003AP EDITION METRONOME SMW003AP CAMEL LEATHER BAND,357.73,336455768009,SEIKO Metronome Watch Camel Classic Type Band SMW003AP Analog Display New w/ Box,412.84,両方にある商品,-55.11,-13.35,OK,超厳密一致
0.94,206104930566,_CUC_20260225m18840372274,TAG HEUER WI2211 MEN'S AUTOMATIC WATCH NAVY BLUE DIAL SILVER CASE AUTHENTIC ,522.15,188074007101,TAG Heuer WI2211 Automatic Navy Dial Mens Watch Date,575.64,両方にある商品,-53.49,-9.29,OK,超厳密一致
0.944,206104922515,_SAT_20260227k1213738577,LOUIS VUITTON CHARM PORTOCLE LV RABBIT VIRGIL ABLOH LEATHER KEY HOLDER MP2917,461.22,306783107813,Louis Vuitton Charm Portocle LV Rabbit Virgil Abloh Leather Key Holder MP2917,513.0,両方にある商品,-51.78,-10.09,OK,超厳密一致
0.769,206145220920,_CUC_20260317m79691036878,SEIKO ASTRON SBXB017 8X82 GPS SOLAR CHRONOGRAPH BLACK ORANGE MEN'S WATCH,799.8,287185629754,Seiko Astron SBXB017 8X82-0AC0 GPS Solar Chronograph Orange Dial Mens Watch,749.3,両方にある商品,50.5,6.74,OK,超厳密一致
0.802,206104875196,_SAT_20260301m59741461095,SONY TC-K600 STEREO CASSETTE DECK 3 HEAD DOLBY B-C NR HX PRO AC100V 50/60HZ,403.05,206079993528,SONY TC-K600 STEREO CASSETTE DECK 3 HEAD DOLBY B-C NR HX PRO AC100V 50/60Hz 14W,356.24,両方にある商品,46.81,13.14,OK,超厳密一致
0.501,206111892464,_SAT_20250518Model number sbgx005 Case model numbe,SEIKO SBGX005 GRAND SEIKO MEN'S WRISTWATCH ROUND FACE JAPAN MADE SS AS IS,1007.09,287183266442,Seiko Grand Seiko SBGX005 9F62-0A10 Quartz Mens Watch Silver Dial 36mm,1052.08,両方にある商品,-44.99,-4.28,OK,超厳密一致
0.713,206104918292,_SAT_20260301m74493190142,"SONY VAIO PRO PK VJPK21 I5-1135G7 16GB RAM 256GB SSD 14"" FHD TOUCH LTE WIN11 PRO",497.87,206079483724,SONY VAIO Pro PK VJPK21(SX14)  Core i5-1135G7 2.40GHz SSD 256GB 16GB Win 11 Pro,455.05,両方にある商品,42.82,9.41,OK,超厳密一致
0.583,206104942625,_CUC_20260224m46552465964,TAG HEUER WM1212 PROFESSIONAL MEN'S DIVER WATCH SWISS MADE VINTAGE QUARTZ  RARE ,658.84,287145313553,TAG Heuer Professional 200m WM1212 Quartz Diver Black Dial 34mm Vintage Watch,701.25,両方にある商品,-42.41,-6.05,OK,超厳密一致
0.974,206127138472,_SAT_20260311m77028918802,SONY TC-K555ESII ES2 CASSETTE DECK TESTED PLAYBACK & RECORDING FROM JAPAN,596.76,177927255701,Sony TC-K555ESII ES2 Cassette Deck Tested Playback & Recording From Japan,637.78,両方にある商品,-41.02,-6.43,OK,超厳密一致
0.963,206129499342,_CUC_20260311m72878221780,LOUIS VUITTON VIVIENNE POCHETTE CLE M81639 TAKASHI MURAKAMI MONOGRAM COIN PURSE,448.84,206116669058,LOUIS VUITTON Monogram Vivienne Pochette Cles Coin Purse M81639,409.4,両方にある商品,39.44,9.63,OK,超厳密一致
0.947,206157557640,_SAT_20260321m53124617781,CASIO G-SHOCK GW-9400BTJ-8JR RANGEMAN BURTON COLLABORATION MULTIBAND 6 BOXED,561.76,287189544882,Casio G-Shock GW-9400BTJ-8JR Rangeman Burton Collaboration Multiband 6 Boxed,522.65,両方にある商品,39.11,7.48,OK,超厳密一致
0.948,206104921734,_LDK_20260227m64872614652,HAMILTON Jazzmaster H385150 Automatic Date Watch Stainless Steel Skeleton Back,417.31,287153138868,Hamilton Jazzmaster H385150 Automatic Watch Black Dial Leather Strap Date Boxed,379.38,両方にある商品,37.93,10.0,OK,超厳密一致
0.958,206111558971,_SAT_20260305m35180905978,LOUIS VUITTON R20045 AGENDA MM PLANNER COVER TOLEDO BLUE B6 NEAR MINT,371.42,206097576831,Louis Vuitton Epi Agenda MM Day Planner Cover Blue R20045,408.59,両方にある商品,-37.17,-9.1,OK,超厳密一致
0.955,206127142061,_SAT_20260311l1205319679,LOUIS VUITTON MONOGRAM CHERRY POCHETTE CLES COIN PURSE KEY POUCH M95042,301.82,206116648499,LOUIS VUITTON Monogram Cherry Pochette Cles Coin Purse Key Pouch M95042,264.98,両方にある商品,36.84,13.9,OK,超厳密一致
0.952,206104946499,_SAT_20260223e1203632027,HAMILTON JAZZMASTER H425550 SILVER MEN'S AUTOMATIC WATCH NO BOX,650.19,206081303355,Hamilton Jazzmaster H425550 Silver Men's Automatic Watch No Box Used,615.98,両方にある商品,34.21,5.55,OK,超厳密一致
0.957,206117399546,_CUC_20260306m75789666983,ORIENT STAR WZ0021FA WORLD TIME AUTOMATIC WATCH POWER RESERVE SEE THROUGH BACK,463.66,287165627363,ORIENT STAR World Time WZ0021FA Automatic Watch Power Reserve White Dial Working,429.88,両方にある商品,33.78,7.86,OK,超厳密一致
0.675,206104917934,_SAT_20260301m66202416643,SEIKO PROSPEX STBR019 PEPSI LIMITED EDITION DIVER SOLAR 200M V147-0CD0,363.18,188074005829,Seiko Prospex STBR019 Pepsi Diver 200m Solar Limited 550,396.44,両方にある商品,-33.26,-8.39,OK,超厳密一致
0.953,206104921907,_LDK_20260227m82668896212,CITIZEN EXCEED AT6030-51E Eco-Drive Radio Controlled Black Dial Stainless Watch,410.87,287152891192,CITIZEN EXCEED AT6030-51E Eco Drive Radio Controlled Black Dial Stainless Watch,381.28,両方にある商品,29.59,7.76,OK,超厳密一致
0.966,206133538792,_SAT_20260312m18853349345,CASIO G-SHOCK GMA-S110BE-4AJR BARBIE COLLABORATION UNUSED W/BOX JPN,396.27,188111352227,CASIO G-SHOCK GMA-S110BE-4AJR Barbie Collaboration Limited Edition New JPN,370.0,両方にある商品,26.27,7.1,OK,超厳密一致
0.946,206104960547,_SAT_20260221m47610204790,CASIO G-SHOCK GW-9405KJ 5JR RANGEMAN LOVE THE SEA AND THE EARTH JAPAN MINT,536.96,137041941800,Casio G-Shock GW-9405KJ 5JR Rangeman Love The Sea And The Earth Japan New F/S,511.0,両方にある商品,25.96,5.08,OK,超厳密一致
0.94,206147469713,_SAT_20260317w1217287737,CASIO G-SHOCK GA-B2100CD-1A4JR CHARLES DARWIN FOUNDATION SOLAR RED BOXED,269.73,287178654985,Casio G-Shock GA-B2100CD-1A4JR Charles Darwin Foundation Solar Red Boxed,245.01,両方にある商品,24.72,10.09,OK,超厳密一致
0.96,206104918512,_SAT_20260301m23697863107,CITIZEN PROMASTER CB5034-82L ECO-DRIVE RADIO CONTROLLED LAND 200M BLUE DIAL,343.87,287152895752,CITIZEN Promaster CB5034-82L Eco Drive Radio Controlled Land 200m Blue Dial,325.9,両方にある商品,17.97,5.51,OK,超厳密一致
